"Padre todopoderoso y misericordioso,"                            ,"congregation","hangingIndent",
"nos hemos equivocado y desviado de tus caminos como ovejas extraviadas."     ,"congregation","indent"
"Hemos seguido demasiado los engaños y deseos"             ,"congregation","hangingIndent",
"de nuestro propio corazón."                                            ,"congregation","indent"
"Hemos ofendido contra tus santas leyes."                      ,"congregation","hangingIndent",
"Hemos dejado de hacer lo que debíamos haber hecho;" ,"congregation","hangingIndent",
"y hemos hecho lo que no debíamos hacer;"              ,"congregation","indent"
"y sin tu gracia, no hay salud en nosotros."          ,"congregation","hangingIndent",
"Señor, ten piedad de nosotros."                                   ,"congregation","hangingIndent",
"Perdona a todos los que confiesan sus faltas."                     ,"congregation","hangingIndent",
"De acuerdo con tus promesas declaradas, restaura a todos los que se arrepienten en","congregation","hangingIndent",
"Cristo Jesús nuestro Señor."              ,"congregation","indent"
"Y concede, oh Padre misericordioso, por Él,"              ,"congregation","hangingIndent",
"que ahora podamos vivir una vida piadosa, justa y sobria,"      ,"congregation","indent"
"para la gloria de tu Santo Nombre. Amén."                         ,"congregation","indent"
